OCR,Sentiment
"दो औरतें बस में सीट के लिए झगड़ रही थी| पहलीः ले रांड ये सीट अपने भोसड़े में डाल ले मादरचोद तू ये पूरी बस अपनी गांड में डाल ल इतने में कंडक्टर बोला , बहनजी , अगर आप ये सीट उनके भोसड़े में डाल देंगी| और ये बस उनकी गांड में डाल देंगी, तो मैं क्या अपने पैसेंजर को अपने लंड पर बिठा के घुमाऊंगा| दूसरीः",Negative
Kahan Ho Tum ? Pta nahil pr yaha Chutiya si Ladkiya Bhi Attitude Dikha Rahi Hai Welcome to Facebook,Negative
"एक औरत रिक्शे से गिर गयी उसकी साड़ी ऊपर हो गयी एकदम से उठ कर बोली, देखी मेरी रिक्शे वालाः लेकिन मैडम हमारे यहाँ तो इसे कहते है..! फुर्ती| फुददी",Neutral
ने लड़के को एक घड़ी गिफ्ट करी॰ लड़का यह घड़ी चू*्त की याद दिलाती है! से॰्क्सी है? लड़का : नहीं ढीली है ! भाग मादरचोद Il लड़की तुम्हारी मुझे लड़कीः लड़की,Negative
"लडका अपनी आइटम को डिनर पे ले गया आइटम ने महँगा खाना मँगाया ! लडका ""माँ के घर भी यही खाती हो..""? आइटम- माँ डिनर के बाद मेरी चूत नहीं मारती. Moral लडकियाँ वाकई मादरचोद हो गई हैं",Negative
Men only have 2 moods voddone IllllIllII GalfnchodDa बोबे bailyaar Iillllll,Negative
wle : Bhabhi Itni Garam Chai Mar raongi Kya 5K She Ha,Negative
S*x करत़े पत्नी धरे धार माल गा़ड़ी मत चलाओ जोर जोर से शताब्दी एक्सप्रेस चलाओ पति जोर जोर से Ch*dno लगा बच्चा पलंग से गिर गया और बोला माँ का Bh*sda जो मर्जी हो चलाओ पर सवारी मत गिराओ 8<8<,Positive
Tu behenkeliind padhta likhta nhi h kya,Negative
टीचर आज मैं तुमको Noun पढ़ाऊंगी टीचर पप्पू तू खड़ा हो पप्पू - जी टीचर लड़की सबसे हंस के बात करती है इसमें लड़की क्या है ? पप्पू - जी लड़की बिगड़ी हुई है सेटिंग करना चाहती है मैडम,Negative
"औरत : डॉ॰ साहब मेरे पति का लं*्ड बहोत लंबा है, डालते है तो कलेजे को लगता है. डॉ॰ : तो क्या लं*्ड कटवाना ह ?? औरत : नही जी. कलेजा उपर हो सकता है क्या?",Negative
maanrn ne 070 chlcr atnalrTrrall 0,Negative
"< Wruch de Mujhse kabhi Jhoont mat bolna sple er फ@k ७ग< mai pakad leti hun Are waah, fir to mai Roj Jhooth bolunga aap Roj Pakadna. Je5 pwrents <",Negative
Ladki ko khona banana dana chavie Lhulua Chutiya toh duniya wole bhi bana dete hai,Negative
मदहोश मत करो खुद को किसी का हुस्न देख कर... मोहब्बत अगर चेहरे से होती तो खुदा 'छेद' ना बनाता..... 12:४६ AM,Negative
matamii Rutianl Uitiata Chita,Positive
"लड़कीः बच्चा 2 दिन से द्रूध नहीं पी रहा| डॉक्टर ने महिला की ब्रा में हाथ डाला और काफी देर तक मुआयना करने के बाद बोला ' र इनमे दूध ही नहीं हैl "" महिलाः मैं तो इसकी मौसी हूँl ?",Neutral
Bella !? lt! No! That s dlrty! Stop i Raand ! Saali,Neutral
GLd Banao Dsodek Lar tumlare dost bole Babकl Lga Daal फai,Positive
Jaa Raha Hu Bro memes uncle xe Teri Bandi Ke Gaal Pe Chummi Lene,Negative
आदमी की सैलेरी औरत की पीरियड जैसी होती हैl जो ३० दिन में एक बार आती है और चार दिन में ख़त्म| किसी महीने नहीं आये तो समझो की लौड़े लग गये|,Positive
"फ थका हारा पति घर आते ही अप बीवी से, छ रोटी भी पकाई है या यूँ चू*त फैलाई है॰"" वीः कुछ आटा-्चावल भी लाये हो सिर्फ लं*्ड लटका कर आये हो| सब्ज़ी",Negative
संता जेल कैसे आना हुआ ? बंता वो पडोशन रोज बडे प्यार से थी. आदाब. आदाब. एक दिन दबा ही दिये कहती,Neutral
"olmot2 dava =""",Negative
का दिमाग तब ही चलता जव बात चुदाई की हो 12=04071 लोगों,Negative
CXUIII TOH NHIKITEG DIOLEIOD,Negative
TRISHIT Malmadarchod hu Main kya karu fir? chod du? Job,Negative
alalesh choia त बहिनचोढ हम का करैे,Negative
"Prostitutes Suffering from AIDS be like Uuihe चir kar Bada Llatnt80 [8 CEa""d nathtau""t Isune",Negative
मुझ फिर से PM बनाओगे लिखा है इधर चूतिया,Negative
DZPIOCUCIDIIUIO IAIH CHULLIIDIiAHUNGA,Neutral
"बहती है नदी, गिरता है झरना ए मादरचोद अपना काम करना चापू कराtmipu ke Vitchan Mahatma Gandhi",Negative
विरोध की ज़रूरत नही है मादरचोदो निरोध की जरूरत है almia Unndhl |7[1-37=1101771,Negative
Iu itha lmmature Avengers level ka Cprayaicali Chutiya,Negative
"Thor i told you, die for that Thanos - You should ve gone for the head. Saia I87 Ihen Siate] Mehnat Barbaad Beharch#d you d Snap",Negative
सनी लियोन लड़ेंगी २०१९ का चुनाव और नारा होगा सनी लियोन के शासन में चूश्त बटेगी राशन में,Negative
"""10I01 ota Il;U(T% Iru =tull Ia Chutija Ratnc IDi Bhaiyo Behno bolna raroor hai kmai",Negative
MEGHNA SRIVASTAV TOPPED २०१8 CBSE RESULTS WITH 99.8% (499/500 MARKS) LiALA BHEHYCYO YAHA O% LAANE HE C@@YD FTJIITI Yll TITU,Negative
"Ialc tlऊ 0 ODDगLDDE ऋ= 67ट 51!]|4=1]701[70|41 DFlaa tJ WटunLw Mluuutn [[[`0""[- Elच / W2uwrDL",Negative
KIS KO ISS BANDE KlIAEH NCHO BOLNE KI ADAT PAD,Neutral
GHUTIYA DANAY  TUMKO,Negative
Papa Ko Lagta Hai Ham Chutiya Hai,Negative
Overactin -l8 Amit bhadaia,Negative
ए D३ EOZZ E GRYZEDO DZELE चa NADA L0 IRILU MZMYZ TIlU,Negative
Wlere Di Vi7ie manti sorry Danga फ2000100 mera baal chor kutti lcre,Negative
मादरचोदो मेरा मिंमस बनाते हो गमछा बिछा के ऐसा पेलूंगा न कि पांच किलोमोटर का दायरा ८.५ कि तीव्रता से हिल जायेगा||| (जोशीला बापू) ऊफ कसतुरवा का संया,Negative
BIIAL ISIOCOUIDDO,Negative
Aimigaliaiiln CLuLiaLat iiL [,Negative
Snowman xd Agar me is bandelka L*nd chuste huye dikh Jau toh hairaan mat ७ aana.,Negative
"S0lnlan Lna Aauine mieri Denl maw @imi 571[70557010 chiinhw +lil:al CutE Iatr .al - miDuit Fld p rl il manl anatit ONTILLTB Drow Dht mlt Sionn ? *=77070|770' 01|1 [1[1]17""2",Negative
Il ARHNAN AANSUO HE BEH UBI G:OSLD BIIL Z३ GID OR LOI EIDIIE BET GIIE-,Negative
"Salnse २iala rDiolo bole la tluriaha  a hano rale ""o",Negative
l have 2 sides khelo lndfa se & NPL s3 Ghudya jag ru३ larua banana पगानातग८ख,Neutral
People :- Tell Me Something About Your Friend ? Me :- सतरँगी चूतिया पृतृात LL,Negative
Chu*iya likha hai kya idhar,Negative
#NAME?,Negative
BB ki vines ya Amit badana Amit Badana iण IDIDDD Niche jaa kai G@@nd Imarna naam hai uska Amit badana.,Negative
Salman Ambani ka khilona GHUIIग,Negative
"*Posts a slightly Offensive joke Foreigner Lmao. Thats some dark shit bro ` India: Oye admin, teri ma ki chut bhadve",Negative
gK tocionint sooosoniyo GabdhabsdkकillakyoGhobai,Negative
ThBDF YePeheleautothafiriskabellsopptarbanaya HoW: IR Be bekaar hibanaya apnaautohishitha,Negative
DEYILBIAHII LEU SICIUTIDIIIIU,Negative
"Aaj Mere Pass Gaadil Hai , Bangalow Hai Bank Balance Hai TerePaas Kya Hai ? Toh Party De Dena BSDK ! Bhai Paisa Kaha Hai Yaar Gareeb Hain Hum. ? Log",Neutral
अर्जं किया है फूलं मुरझाते अच्छे नहीं लगते आप लंड खुजाते अच्छे नहीं लगते ये ही उम्र है चोदन की यूँ रोज बाथरूम में हिलाते अच्छे नहीं लगते,Negative
मेरा तो नामा शो मत लेना मादरचाय,Negative
SHIRE3 UUTINIIYCIIU UIUIUUISE Lin UthE taata ISI CHUIINHAIHAPADA,Negative
"ताऊ नम्बर पर सट्टा लगाया नम्बर आ गया ताऊ करोड़ पति हो गया. एक पत्रकार इंटरव्यू लेने आ गया ""ताऊ इकसठ पर ही सट्टा क्यू लगाया?"" ताऊ ने बताया- ""्बात ऐसी है पत्रकार! उठा , मुझ आसमान में 8 पंछी दिखायी दिए और तारीख़ बस मैंने आठ निम्मा कर दिया| आठ निम्मा इकसठ लगा दिया सट्टा. पत्रकार ""पर ताऊ आठ निम्मे तै बहत्तर है?"" ताऊ ""्बस लौड़े तेरे जैसे *पढ़़े लिखे* के चक्कर में अगर रहता झांट फंसता सट्टा. ने ६१ तुमने मैं सुबह थी 9",Positive
Buig Turelcealएn elotolled Laea Q७दद[ऋनात Dama matlerchtod,Negative
KITAAII BiUII,Negative
क्षत वर्ग सामान्य वर्ग से चोद तेरी नौकरी खा जाउं,Negative
"UmiolHViltVinll Thtu Wsarm cuaui0@""001|9 ""757510. CाL Chod n",Negative
"२ Ulea Ia Oly CaD [5.72""1"" Citiga Uia Urotficiel 777-@ Mutth Wlare Mutth Maare Mera Tharki tharki Beta",Negative
Cbao Lar Cbudall dlmag mat LZha paclhne de mea exam al,Negative
idk how to flirtidone callled thisbitch teri jesi kutiya ko to kbhi text na kru,Negative
दाया ऑ२ बातों ह![ DIIDBEIIUL Backchod Bill OBackcho% CSUIELIJZUIIBG SACKCHOD BILLY,Negative
Unofficial Mama Agar Aap Behancho Ko bh 1 Behancho padh rahe ho to chut iye check Kyu kiya sah 1 t0 padh Rha tha -TituMama Titu,Negative
"lamkedar @Jadhavkedar 4 Cup of Tea makes everything better! @msdhoni @SDhawan२5 Rahul Marhija @Maxhiin Calm down, Calm Down Tu Chup Reh Bewde Daaru ki Smell Aarahi Tere Muhn Se",Negative
"Hamara dost chutiya hai +7श720""|[23[1|""6[ Hamara dost bchpn Je chutiya hal",Negative
Orm WIHBHOSDIKE UINI,Negative
Tu Gho२@ Sa bhen ka loda hai kya?,Negative
ekdz malt suddenlbtuळ sab ७ओdl७oapue mental peaselale @tOf kardunga phirks sundar ७atihe bahon main rone dee wali ladki ke sath shadRar lstkoon ki zindagi guzaruo@a tum sab ko mere memesna milne ki wajah se deppiession holayrega or sab kutte ki mazs mar७ge apni Dbi२,Negative
Abew eeno bsdk ye kta N dlp,Negative
"When Rinky failed in Bihar १२th board Rinkiya k papals reaction चट देनी मार देली , रखींच के तमाचा @rahllaranchan",Negative
Memechat To Users * Kya Kariye ga itne paiso ka  ? Isliye Rehne de Bhadwe,Negative
"Does he bite? No, but he can hurt You in other ways. +itu mama mr hola DIMA Neem ka patta kadwa hai Mr Hola Bhadwa hai mr Hola TlU",Negative
Ye tere GOnd mein lele,Negative
tudtF hallst Unpadentinabll It Inii IE Llkt lintala TiltTFTill Irli Mapta lflto ोagazeT Tiayie,Negative
tum log gaali dena chalu karo mai moot ke ata hu llallalllla Gallillil,Negative
iOth pass kar li ab aaqe kza karna hai commmerce Artslleke luga maje karugi Science leke Engineer banuga BHAAO BHOSDK Zlpत DTZ,Negative
0२ tills rwum facet ook cotul Buc kclodltilli IEYOTEDO DDEG IBackchodbilli cOm facebookc https //wW,Negative
tere gharpe maa bhen nahi hai cya,Negative
PPA KO LAGTA UBUN GखUD Dक़,Negative
"@REALBCBILLI UVILIIN NAAMKYA HAJ Sir भूपेशj॰a TUMHARA ? 0)I""/[6 बूपेश Nahi Sir Achha बूपेश जी फकूपेष्ा. . UVUIL{[ Achha वुपेश Nahi Sir फभूपैश॰ कJ॰॰ भ.. भौसड़ी बाला भ.",Negative
UHLBBIECIHII TOOA,Negative
Ondian Jdo Mumbal Wahi Aa Sakte Sort! To Ki Hoya? Canada To Ja Sakda Hu Nah BC! hap,Negative
OUR घlGHT ISOUR 5IGHZ NONE OE YOUB LGLT Zlr LLZWYZ ZL३l MA ZI DISY SZR,Negative
नाथू कट्टा निकूलू बहुत बक्चोदी हो रही है -lilallalilla Galtllii,Negative
"YOBI WILL NOTPUIY""SUYATAYAIYAA TU",Negative
"WHEN HE SEES THE CROWD OF 1० DISAPPOINTED PEOPLE. e%al|7 Ab mai gyaan chodunga mtuia&9"" prime video",Neutral
Bohitbhaiti Chutiya hailn Bohitbharti akhand chutiya haln,Negative
"FORSTUDEIT WIO GOT LESS THAH 8०% HARKS k ""71"" `AIA BACGIO HNHSUHDAY G@@YD PE PADEGE BAAP KII JUTEE OR DAYDE TIJU",Negative
"10:49 Friday May ३१ 24.5K8/s 0 4G +Lt १५% ऐ Today ६४८ BMB This month २० १BGB AXZOMATO Zomato Cricket Cup begins! Win up to १nn% ""0 JCB की खुदाई ही देखते रहोगे ? ok फिर मैं चली सोने huh - Goodnight wifistudy Daily Reminder Attempt Todays all Quizzes Updater Updates are available VO 2 3.0.NCFMIXM 04-=?4",Negative
01111 Rishe Touch hMia usko MaderchraEl,Negative
तेरी सुंदरता के चकर में भूल जाता हु की तू कितनी माँ की लोड़ी है,Negative
Mlera naamn hai Chutiya aachoon aachoon ki knadi karta hoon main khativa,Neutral
"Bina kuch kare hi Mere he Je lag jaate he le """,Negative
Hii baby love you OMG ! love you too Hlaaye mera raja. Haaye meri randi Sorry Rani** Nikl bsdk,Negative
AzlJuri Siddiuu- ti7 ' ZIDID!U7UR: _=ZVOan Wlhen my friend talks about girl. Le Me abe chutiye! paka mat,Negative
Aap stagel ho Ilehi dungi चघीe५ Wahabaith Bhadhf Teachaar logon I iallट hal E -Er,Negative
"डर डर के क्या जी रहा परिंदे, माँ तेरी जब होगी वैसे भी चूद चुदनी जाएगी.",Negative
आपकी मॉका बात खत्म भोसडा,Negative
khabar ndtv com UPSC टॉपर Kanishak Kataria ने गर्लफ्रेंड को दिया अपनी सफलता का श्रेय le His GF-,Positive
Acha Mएmom Oifllatahilafo 5olpapIobolalhere LaoBhetiioo byy,Negative
kitne Chutiya he inse Kyun hi baate karu ? Ninjj a Me nahi krra |o9,Negative
EI KOCOIDO,Negative
SIIODDZLP taaDlaegta Salal TODBओ I:ADULDII,Negative
BB fan ? २ mr HOLA Neem ka patta bhadwa hai kadwa hai,Negative
TUGIUILILIIHEH,Negative
Taca Friend JoRabhiGaaimideta,Neutral
DUBBTIICIT CIUIITIEIUDERff UHEIGL,Negative
Bsdiwaal Mari to mai,Negative
पट गयी तो बंदी नही पटी तो र... महात्मा गाँधी असली वाले Loha Singh,Negative
"IG NENS गड़ा खुलासा कॉफी विथ करण में जाएँगे एक्के की गांउ नो #ै गरेँगा , और फिर गोनूंगा आज फ पांड्ग हुए भावुक गोला ""मेरा तेमूर मेरा",Negative
द| @@ 07%47 .[0* PUSNGTILISE3CENZRRTEJLLWAO esb< ISLEB EE BFULE २झ साम,Negative
INT hONHSIIRAT ZINCNNT FROMDHI,Negative
"Dosto mcre dad ne Hawzii mय Bahut Bada Rasort open klye hal mere sath chalna chahoge? cab 8i ia Wene mukhu na Bnb lte Ilye Gunio,kya me bhl aa KD bhi sath coDldca Iaumgl Iuie e tung : sakia १u?१ Nobrra l Vlkal Brasdkell Daremarinrin DoRI",Negative
BIU TEPIAE HIYGHUTIHAI,Negative
Vijay Thakur Bhanje Tujhe pata he Chutiya kise kelbto be Jo log Avengar 3d Camo Koषpoilar do lalo unko Urlolto Wladarcbod Lebtehe,Negative
SonlyooSuniyo,Negative
Akki Akhilan 0l dont need any fucking GIRL ) Bike 16 ३६ Comments Like Comment Share Angel Mandal Loda silencer main ghusaega? 30m Haha Reply THE VPIOSIS My,Negative
"ftold ,ou गafd aie lcrtliat Ilaliu crllwlltnil dt+[-|[;710| Thon +=|7=*===17=6""|==|770=|=#= 57120",Negative
ILLLO TUSABSEBADA CiU]iINI QUBUSSEBIIBADA TU ChAUI,Negative
Chup kar chudail,Negative
"Kyunki main Chutiya lun ""01[11-*07- dimeB Chulpala",Positive
*This is for yov P> Uno Mlicial Tiu Mana SARFARAZ THA MILNE RAHA KO SE HE SAALE TERE ME DIYA RASTE VIRAT PEL Tumhara,Neutral
"001817 4717021 eu TIC_IEDLLISl7 T NDvAUS After ""atching Aaron Fiich toda  innings RCB rid Farsः [1*""^2727 07|[- |771[|17""700[!",Negative
[:[ gujarani bakchodi Main hi hot Iui thi Gand Nahl Jala Tiumhar Maa ka paida,Negative
bolo bencho oh dushhmannakिedostne vo kaam kya h yeah,Negative
"Eiabess Chutiye Lekhie Hal """"77;@128 Cora",Negative
Teri ma Ka bhosda teri,Negative
Jमगग!! R ' FCSITIEILL Nikal Lawde,Positive
boh samhibudikya?,Negative
लिख के लेले तू चूतिया हैl Mahatma gandhi,Negative
Itoon Dexio ! Chutivaa,Neutral
vijay Kisne Touch kivalusko Maderchad,Negative
Me Chutiya hu,Positive
बादल जब घनघोर हों तो आती हे बरखा अगर ऐसी पोस्ट दोबारा की तो गांड र्में घुसेड़ दूंगा चरखा पनन्ना गाग (मसनी गाले ),Negative
Ch*tiya hi toh banna hai banta rahuga aur kya?,Negative
Pl E 17014100=5- Tou 7[7~[101 मचछर की झांट गांडू चूतिए lilalatilla Galltlhul,Negative
QUKEKGADGEZAAD DORAEMONSAB WERDDOAARI3RAO OUUGKD DODDDDO HUTION I९४0 DXL D३ चBATUGRIMOUAODORRहMoM,Negative
"LIVE BREAKING NEWS एक बड़ा खुलासा कॉफी विथ करण में जाएँगे तैमूर !! 9:30 कहा "" उस छक्के की गांड तो मैं मरूँगा ,और फिर बोलूंगा आज र ्मै करके आया"" हार्दिक पांड्या हुए भावुक बोला ""मेरा तैमूर मेरा तैमूर"" !!",Negative
आज मन खोज करी है GANDHI एक पढलै अक्षर अश्लील हेंl Gandhi भोंसडीके,Negative
iss baar ka IPL RCB fteg #1=%la) -07 @ Trolte Oabuo Zao merikasam tu mar iavega bh di k,Negative
मौत आट जनाए पर उस बहन की लोरी की याद ना आये,Negative
लिख के लेले तू चूतिया हैl Mahatma gandhi,Negative
"5075 15197 2*40)864 ar ऐसा कौन-सा काम है जो 5 लड़के एक साथ कर सकते हैं पर 5 लड़कियाँ कभी नहीं कर सकतीं? SIRGIOJJG ९h१0 68#2[13 6]"""" मैडम , वो काम है एक ही बाल्टी में ""मूत्र विसर्जन"" भसड़ीके",Negative
Bractly ioRaDtiilca Drcatel Heay चहिनचार इनकाकर,Negative
BrllJATUUIचI RANL TINKENU GHODIBANA DUNGA NDHIBANIO MUJHER PHGEEUHI,Negative
DEHHBHAYYII IUIC:UIIOIII UOB:IIILDUAII,Negative
"Keh Ke Peheno coolfunnytshirt ""BCaur koi batsman hai team mein? ya sirf mujhe hi batting karni hai???"" VIRAT 18",Negative
"After watching Sanju, Faizal Khan मEIनeड D ~ाr"" Ghapagtap kaa chahia hu tumhaare Saaih",Negative
हमने तुझे दिल दिया था तूने दिल की बहन चोद दी बहन लौड़ी,Negative
तुम लोग इस्की पैंट उतार के रखो मैं आ रहा हूँ तेल लगाकर ~Horny Bapu,Negative
Unofficial Titu Mama Ban ja Mera chela Tujhe Bohut Kuch sikhana he Mera Lond Dekh Kar Teri Bandi bole Mujhe isi se ch#dwana he -Titu Mama #BohutHard #BohutHard,Negative
Chutiya Sale,Negative
"Jibran Ali We Troll Pakistan १9 minutes ago India walo Babita ji dedo, Kashmir le lo Krishpan Subramaniam ौer teri aur PakistanKimaa crot dunga bhenchod",Negative
Pफ़a:lृ एःधशः रिनः ८७zः Pः:धख:सरणर छः Qः5ृ 0 या7 JR:N MZ Pःः ० D०,Negative
peak indian humour teri maa ch d dunga Ia n pakisten ka baap india,Negative
"There is a Group of Pakistani Scientists who claims that ""Earth is Flat"" and they also nallenged NASA to prove that Earth is Round. NASA had never responded them !!! Gaandlkailallogaltahal gaandu ka nahi Tiiण `DDDN",Negative
ots chutiya hai chup bsdk bts is lobb NDAIUDD,Negative
"११:१7 PM OOKBIs 0 4G Replies Mukesh Ambani love react if you are jio user Jio 5h Like Reply Vijay Thakur Mukesh Ambani Abe Bsdk network nahi aata thik se Jaldi theek karwa २h Like Reply Mukesh Ambani To idea le na, Me khud idea use krta hu २h Haha Reply Write a reply.. Only",Negative
Dnaggka fgldenkvro COsd@ ho chuka haf,Negative
samunder kinaare baithe raho lehare kahhina kahhi zaroor aayegi TlU Kismat badle ya na badle g@@nd zaroor dhuljaayegi DIADiA,Negative
Mal Chutlya Hu Ha voro tune sabl padha Jृ bi bal,Positive
MAR MARKE GAAND SUJA DUNGA 8H0S0|KE,Negative
-er maa ka dekisugi #ड!@,Neutral
"Sit Ue erpelal Phai Nifituria Bs Daino Kiollblar @l प्रध्य Toh ऐsdka Tun Ltle Lie Hmar Sh10l Petdhl त"""" मट",Negative
Narendra vikk Pyaar krke mila (Ucokon hcucc) Topyaar ladki se Lu*d mila Krna chaaiye tha na Darendकvkीs Vaklelomemब Bakchodi krta hai @mekaehathiuan Motherch*d kya,Negative
CIUSII DOOKTGSOCOOL LDSUPBEIHGA GtULJI,Negative
Chud gye guru tlaa chuaave ticbun'eu,Neutral
Bade Log chutiya Lote Hain,Negative
chutiya chuLIt,Neutral
GUBg BDa`IADE,Positive
मुझे वो पसंद है @samosahoonbhay और उसे Pura mohalla,Negative
"len Cuwak Len [ ""%_ 0र mlledmr Jeलs pererts -22-850[0 art Macile detadla Wch ५ Pople of Maycon Rdle s२ ABCD से शुरूहोने वाला एक वाक्य बनाओ| CRGnSUG_ ga७७0 णhAह २IG शHiinn Apki Behan Chxd Dunga",Negative
KIS KIS KO ISS BANDE KI WAJEH SE BANCHO BOLNE KI ADAT PAD GYI,Negative
CHU*@YA HAI!,Negative
WATSOY PIAYED HATCH WINHING KHOCY Nilpenaot 5572 WATVU *0 4^[{ IDlii JJIFS- HAYUuU atDUIआU TITU la ata MADA SIL LIZN C BTG:O,Neutral
TouarantineLite Girls After २१ Day Lockdowin- Tujhe Kaise २१ Din Chutiya Banaja Boys Alter २१ Day Lockdowin Wia Mila lere Fo Apun ha Chutuauatle,Negative
"Brसilghan MTal mea brorkup lाम Kisi२ Bit ialiut Zln L HO Eakor Talrt -E ID9%""",Negative
"Harsh Shukla @harshastic *Me as a teacher * Student ""Sir Kal tabiyat kharab ho gayi thi so homework nhi Kar paya. Meः Abe lodu Kal raat 2 baje tak jis Pooja $ baat Kar Raha Tha WO Mai hi hu "" Translate Tweet 6:२8 PM १२ Jan १९ Twitter for Android",Negative
Delho latesthatsappstatus blogspot com icaaGutiya Hapas,Negative
SB SIII BOt Lonill Tii७ TDU]4 mi hoB Uaan Lyo ]ll! Ial bliostl JISIT,Negative
"मौन व्रत के दिन् पत्नी बुब्स हिलाके पति को दिखाईं. तो पति भी अपना lu*d निकाल कर दिखाया. पत्नी बिदकते जोर से बोली, ""bho*dike के, झैए कहरही ब्ील्दुध वाला कब आएगा..?"" पति साली , मैंने भी तो कहा तुझे.. 1 घंटे में..!!",Positive
Ye sab sirf Memes hai Chutiya mat bano Mehnat kro din raat Al gaya bhaad mai Alse aage badhna hai,Positive
S@ Jaao Golu Nahi Toh Bhoot Aajayega Papa Aapko Zoh Bs Mummy Ke Sath GhaparGhap Krne ka Maulkaa Chahye,Negative
वो कहते हैना bumhari maa ki choot सही कहते है,Negative
Kadwa hai Bh*dwa hai Diu UDUI,Neutral
"Srlora :oa फ PO LOD DDE Kra Be Gano Khola al त प्रध 7त Toh Bsdk, Tumn lske Hmare Show Per Chte Aave Liye",Negative
"Chunautiyo se bacha jaa sakta hai k ""71' MIMA Lekin Chutiyo se Nahi TITU",Negative
Tum toh humko chutiya hi samajh rahe ho,Negative
गुड मोरनिंग मादरचोद,Negative
IYEY- annivtersar]p Die Madaba२ Kfs baat ki anniteउगत३ Pura ek saal ho gaye tera chhutiya Raale Hapyy,Negative
IUMITNEACOHEHO HD PHIKOICFKYUNAHIHAI TO TUMBANJIO NEAICF NO WEAREIUSTBEST BIST ७० FlLltDs I@NDIfONIII,Negative
KON GA BRD GABSE TEJ UDTA EAJ ZIrr७ BHD l LYTYZ dISर0 JZLDI HO BANGEO,Negative
Sali bhen ki lodi फ८ यू miss Lelo 88 चिच ऐस्स निग्ना माटरचोट,Negative
इतना मानसिक Iladhoonmainvaa ढनIव bc,Negative
Bunty Tera saabun slowhai kya? Susrant Nepal TStay Clas ? फl apna kaam kara madharchod *Aye,Negative
bokachoda,Negative
"TELLHII YOUAENOT IOll DElHI ""CHUTIYAHENUAP""",Positive
Shes TODAY RIP Messages to this chat and calls are now secured with end torend encryption for more info Hy ९:१9 PM Hello babes 9:२० PM m pregnant 9:20 PM 9:2४ PM Wtf 9ः२४ PM Are you serious 9:२४ PM Yeh mera nahi ho skta ९ः२४ PM Tera hi h chutiye ७७०७ Pivi Bakio ne to condom use kia tha ७७०७ Pivi ype a message Tap,Negative
DADiA BHD ग Cग़ KI GAYA BEIGO TITU,Negative
Dil hai hmara khilaua nhi FAceBDoKa ADULYLAUNDA L *lgake pelunea :० rona nh,Negative
,Negative
"-!ltt,allt]lIt- I NNa?",Neutral
